SKU;BRAND;MODEL SEIRES;DESCRIPTION;RSP;2025-05-07 00:00:00.1;COST INC VAT
SPEMON002;MONKEY BANAN;GIBBON 5-RED;"Studio active monitor- 5.25""- bi-amp- 45W+35W- red";3172;1+;2643
SPEMON017;MONKEY BANAN;GIBBON 8-BLACK;"Studio active monitor- 8""- bi-amp- 80W+30W- black";4406;1+;3671
SPEMON018;MONKEY BANAN;GIBBON 8-RED;"Studio active monitor- 8""- bi-amp- 80W+30W- red";4406;1+;3671
SPEMON019;MONKEY BANAN;GIBBON AIR-BLACK;"Studio active/pass monitor- 4""- 30W+30W- black";4264;1+;3553
SPEMON020;MONKEY BANAN;GIBBON AIR-RED;"Studio active/pass monitor- 4""- 30W+30W- red";4263;1+;3552
SPEMON021;MONKEY BANAN;GIBBON AIR-WHITE;"Studio active/pass monitor- 4""- 30W+30W- white";4264;1+;3553
SPEMON025;MONKEY BANAN;GIBBON 5-WHITE;"Studio active monitor- 5.25""-bi-amp-45W+35W-white";3172;1+;2643
STAHYB001;HYBRID;MS04;Mic stand w 50cm boom- 0.5-0.7M (H)- 2x mic holder;414;1+;345
STAHYB002;HYBRID;MS01;Mic stand w 76cm boom- 0.9-1.65M (H)-2x mic holder;448;<1;373
STAHYB003;HYBRID;MS02;Mic stand w 76cm boom-1.0-1.7M (H)-clutch- 2x hold;617;1+;514
STAHYB004;HYBRID;MS03;Mic stand w round base- 0.8-1.5M (H)- 2x mic holder;533;1+;444
STAHYB005;HYBRID;KS01;Keyboard double-brace stand- 32-95cm (H)-90Kg load;742;1+;618
STAHYB006;HYBRID;MUS01;Sheet music stand- 0.9-1.5m (H)- 48x35cm lectern;683;1+;569
STAHYB007;HYBRID;SS01;Heavy-duty speaker stand- 1.2-2m (Height)- 70kg load;663;0;552
STAHYB008;HYBRID;LS01;T-bar lighting stand- 1.4-2.5m (Height)- 70kg load;932;0;776
STAHYB010;HYBRID;GS01;Guitar stand- foldable- 45-67cm (Height adjustable);233;1+;194
STAHYB011;HYBRID;SP01;Speaker pole- 35-35mm- 0.8-1.4m (H)- 50kg load;228;1+;190
STAHYB012;HYBRID;SS02;Heav- duty speaker stand-1.1-1.9m(H)-70kg load;574;0;478
STAHYB013;HYBRID;MS05;Mic stand w round base- clutch-1.1-1.7M (H)-2 holder;686;1+;571
STAHYB014;HYBRID;MS06;Mic stand-gooseneck w round base-30cm(H)-2 holder;348;1+;290
STAHYB015;HYBRID;GS02;Dual guitar stand- foldable- 50-78cm (Height adj);518;1+;431
STAHYB018;HYBRID;FM01;Pop filter- dual layer- diameter: 150mm- gooseneck: 335mm- C-clamp: 30mm;215;1+;179
STAHYB019;HYBRID;MS07;Mic stand w 76cm boom- 1.0-1.7M (H)- 2x mic holder;300;<1;250
STAHYB020;HYBRID;MUS02;Sheet music stand- 0.7-1.4m (H)- 41x25cm lectern;459;1+;382
STAHYB021;HYBRID;SS03;Speaker stand pair in a carry bag- 1-1.75m(H)- 50kg;768;1+;640
STAHYB022;HYBRID;LS02;3m lighting stands & flat truss-1.4-2.5m (H)- 70kg;3229;1+;2690
STAHYB023;HYBRID;KS101;Second tier for KS01- 45-80cm (Width)- 28cm (Height);297;1+;247
STAHYB024;HYBRID;MUS03;Sheet music stand- 1-1.5m (H)- 51x33cm lectern;886;1+;738
STAHYB028;HYBRID;MB01;Musicians bench- 34-52cm height adjustable- 60mm foam- 43 x 30cm seating size;629;1+;524
STAHYB029;HYBRID;MB02;Musicians bench- 45-63cm height adjustable- 70mm foam- 60 x 31cm seating size;854;0;711
STAHYB031;HYBRID;SP02;Speaker pole-M20-35mm-0.8-1.4m(H)-50kg load;372;1+;310
STAHYB032;HYBRID;GB01;Wall mount guitar bracket- autolock (Black);228;1+;190
STAHYB033;HYBRID;MS08T;Mic stand w 76cm boom- 1.0-1.7M (H)- 2x mic holder;272;1+;226
STAHYB034;HYBRID;SS04T;Speaker stand- 1-1.75m (Height)- 50kg load;326;1+;271
STAHYB035;HYBRID;GS03;Guitar stand- compact A-frame- 34cm height;285;1+;237
STAHYB036;HYBRID;SMB01;Microphone boom arm- 50 + 50cm- 45mm C-clamp;360;1+;300
STAHYB037;HYBRID;SMB02;Heavy-duty mic boom arm- 50+50cm-45mm C-clamp;494;1+;411
STAHYB038;HYBRID;MS09;Mic stand -desk top- 14-19cm (H)- 2 x mic holder;176;1+;146
STAHYB039;HYBRID;MIS01MKII;Microphone isolation shield- 31 x 21cm- tripod stand;830;1+;691
STAHYB040;HYBRID;MIS02MKII;Microphone isolation shield- 3 panel- 43 x 31cm;1163;1+;969
STAHYB041;HYBRID;MIS03MKII;Microphone isolation shield- 5 panel- 59 x 31cm;1627;1+;1355
STAHYB042;HYBRID;FM02;Pop filter- dual layer- diameter: 150mm- gooseneck: 300mm- C-clamp: 25mm;116;1+;96
STAHYB043;HYBRID;IS02;Universal tablet / smart device holder- adjustable 95-230mm- with C-clamp;416;1+;346
STAHYB045;HYBRID;GB02;Wall mount guitar bracket- autolock (Black);129;1+;107
STAHYB046;HYBRID;SP03;Speaker pole w handle-M20-35mm-.8-1.4m(H)-70kg;955;0;795
STAHYB047;HYBRID;SS05;Speaker stand with crank handle- 1.2-2m (H)- 70kg;1620;0;1350
STAHYB048;HYBRID;LTS01;Aluminium laptop stand. Height 15cm- platform: 26 x 24cm- load 4kg;607;1+;505
STAHYB049;HYBRID;SS06;Monitor stand pair- 0.3-0.5m (Height)- 20kg load;696;1+;580
STAHYB050;HYBRID;SS07;Monitor stand pair- floor standing- 20kg load;921;1+;767
STAHYB051;HYBRID;KS02B;Aluminium foldable 2-tier keyboard stand (Black);2395;1+;1995
STAHYB052;HYBRID;KS02W;Aluminium foldable 2-tier keyboard stand (Silver);2395;1+;1995
STAHYB053;HYBRID;LS008;3m lighting stands & tri truss- 3m (Height);5704;1+;4753
STAHYB054;HYBRID;LS008B;1.5m lighting / small line array stand & tri truss- 3m(H);4817;1+;4014
STAHYB055;HYBRID;DJT001;DJ table w wooden top & metal foldable legs. Height adjustable. Carry bag included;3268;1+;2723
STAHYB056;HYBRID;MUS004;Sheet music stand- transparent acrylic lectern;887;1+;739
STAHYB057;HYBRID;MUS066;Sheet music stand- natural wood legs / lectern;1275;1+;1062
STAHYB058;HYBRID;KS260;Heavy-duty foldable keyboard stand-height&width adj;1144;1+;953
STAHYB059;HYBRID;KS265;Heavy-duty foldable key stand w 2nd tier- H & W adj;1599;1+;1332
VOLHYB001;HYBRID;V5;5 Watt- 100V- wall mount 5-position volume attenuator- White colour;83;1+;69
VOLHYB002;HYBRID;V30;30 Watt- 100V- wall mount 5-position volume attenuator- White colour;127;1+;105
VOLHYB003;HYBRID;V60;60 Watt- 100V- wall mount 5-position volume attenuator- White colour;171;0;142
WALHYB005;HYBRID;WB02;Wall mount bracket pair with 35mm pole- pan & tilt- 210mm (depth)- 50kg load;526;1+;438
WALHYB006;HYBRID;WB01;Wall mount bracket pair with 35mm pole- pan & tilt- 330mm (depth)- 50kg load;761;1+;634
