SKU;BRAND;MODEL SEIRES;DESCRIPTION;RSP;2025-05-07 00:00:00.1;COST INC VAT
CABHYB120;HYBRID;INS-J(M)-J(M)-3M-GR;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 3M- woven instrument cable- Green;134;1+;111
CABHYB121;HYBRID;INS-J(M)-J(M)-6M-GR;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 6M- woven instrument cable- Green;185;1+;154
CABHYB122;HYBRID;INS-J(M)-J(M)-10M-GR;Jack 6.5mm -Jack 6.5mm mono- unbalanced- 10M- woven instrument cable- Green;254;1+;211
CABHYB123;HYBRID;CT88;Cable tester- CT02 features w tansmitter & receiver;1380;1+;1150
CABHYB124;HYBRID;SIG-BAL-X(F)-X(M)-5M;XLR(Female) - XLR(Male)- Balanced Line- 5M. Waterproof connectors;122;1+;101
CABHYB125;HYBRID;SIG-BAL-X(F)-X(M)-10M;XLR(Female) - XLR(Male)- Balanced Line- 10M. Waterproof connectors;156;1+;130
CABHYB126;HYBRID;SIG-BAL-X(F)-X(M)-15M;XLR(Female) - XLR(Male)- Balanced Line- 15M. Waterproof connectors;212;1+;176
CABHYB127;HYBRID;SIG-BAL-X(F)-X(M)-20M;XLR(Female) - XLR(Male)- Balanced Line- 20M. Waterproof connectors;274;1+;228
CABHYB128;HYBRID;DMX-3P-X(F)-X(M)-1M;DMX 3-Pin- XLR(Female) - XLR(Male)- waterproof connectors- 1M;99;1+;82
CABHYB129;HYBRID;DMX-3P-X(F)-X(M)-5M;DMX 3-Pin- XLR(Female) - XLR(Male)- waterproof connectors- 5M;156;<1;130
CABHYB130;HYBRID;DMX-3P-X(F)-X(M)-10M;DMX 3-Pin- XLR(Female) - XLR(Male)- waterproof connectors- 10M;228;1+;190
CABHYB131;HYBRID;DMX-3P-X(F)-X(M)-2M;DMX 3-Pin- XLR(Female) - XLR(Male)- waterproof connectors- 2M;112;0;93
CABHYB132;HYBRID;DMX-3P-X(F)-X(M)-3M;DMX 3-Pin- XLR(Female) - XLR(Male)- waterproof connectors- 3M;125;<1;104
CABHYB133;HYBRID;DMX-3P-X(F)-X(M)-1.5M;DMX 3-Pin- XLR(Female) - XLR(Male)- waterproof connectors- 1.5M;106;1+;88
CLAHYB001;HYBRID;HC200;Heavy-duty half coupler clamp- 200 kg load;152;<1;126
CLAHYB002;HYBRID;HC30;Light-duty half coupler clamp- 30 kg load- ABS;104;0;86
CLAHYB003;HYBRID;HC100;Heavy-duty C-clamp for lighting- 100 kg load;306;1+;255
COMAUD001;AUDIOCENTER;T2 COMBO;"9600W RMS- 3-way active line array combo Easy set-up & strike-down Portable- ideal for all mobile applications Indoor audience of 1500 people 4 x Audiocenter T45-DSP line array 1000W 2 x Audiocenter K-LA218-DSP- dual 18""- 2000W bass Cabling & poles incl";163021;1+;135850
COMAUD003;AUDIOCENTER;X2 COMBO;"12000W RMS- 3-way active line array combo Easy set-up & strike-down Portable- ideal for all mobile applications Indoor audience of 1500 people 4 x Audiocenter XLA102 line array 1600W 2 x Audiocenter K-LA218-DSP- dual 18""- 2800W bass Cabling & poles incl";188400;1+;157000
COMAUD004;AUDIOCENTER;MA PACK 1;"2100W RMS- 3-way active combo system Easy set-up & strike-down Compact- ideal for all mobile applications Indoor audience of 250 people 2 x Audiocenter MA12 full-range 350W 2 x Audiocenter MA118- single 18""- 700W sub-bass Cabling & poles included";40998;1+;34165
COMAUD005;AUDIOCENTER;MA PACK 2;"2300W RMS- 3-way active combo system Easy set-up & strike-down Compact - ideal for all mobile applications Indoor audience of 300 people 2 x Audiocenter MA15 full-range 450W 2 x Audiocenter MA118- single 18""- 700W sub-bass Cabling & poles included";43488;1+;36240
COMAUD008;AUDIOCENTER;ST2 COMBO;"8000W RMS- 3-way active line array combo Easy set-up & strike-down Portable- ideal for all mobile applications Indoor audience of 1000 people 4 x Audiocenter T45-DSP line array 1000W 2 x Audiocenter SA3218A- dual 18""- 2000W bass Cabling & poles included";123600;1+;103000
COMAUD009;AUDIOCENTER;SX2 COMBO;"10400W RMS- 3-way active line array combo Easy set-up & strike-down Portable- ideal for all mobile applications Indoor audience of 1500 people 4 x Audiocenter XLA102 line array 1600W 2 x Audiocenter SA3218A- dual 18""- 2000W bass Cabling & poles included";152401;1+;127000
COMAUD010;AUDIOCENTER;ASTRA 210A COMBO;"10400W RMS- 3-way active line array combo Easy set-up & strike-down Portable- ideal for all mobile applications Indoor audience of 1500 people 4 x Audiocenter Astra210A line array 1600W 2 x Audiocenter SA3218A- dual 18""- 2000W bass Cabling & poles incl";144001;1+;120000
COMAUD011;AUDIOCENTER;GIG RIG 1;"2100W RMS- 3-way active combo system Easy set-up & strike-down Compact- ideal for all mobile applications Indoor audience of 250 people 2 x Audiocenter SA312+ full-range 350W 2 x Audiocenter MA118- single 18""- 700W sub-bass Cabling & poles included";43758;1+;36465
COMAUD012;AUDIOCENTER;GIG RIG 2;"2300W RMS- 3-way active combo system Easy set-up & strike-down Compact- ideal for all mobile applications Indoor audience of 300 people 2 x Audiocenter SA315+ full-range 450W 2 x Audiocenter MA118- single 18""- 700W sub-bass Cabling & poles included";45811;1+;38175
