"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"RAD-R800801500","R800801500","Radial J+4 Active -10dB to +4dB stereo line driver with transformer isolated inputs","0","R 5,898.00"
"RAD-R800801600","R800801600","Radial McBoost Mic signal booster, class-A fet with 25dB gain, load adjust and filter","0","R 4,067.00"
"RAD-R800802600","R800802600","Radial Catapult RX4M 4ch receiver, balanced outs, mic-level transformers, uses shielded cat-5","0","R 8,680.00"
"RAD-R800802700","R800802700","Radial Catapult RX4L 4ch receiver, balanced outs, line-level transformers, uses shielded cat-5","0","R 6,800.00"
"RAD-R800802800","R800802800","Radial Catapult MINI TX 4ch cat-5 mini breakout box to XLR-F tails, uses shielded cat-5","0","R 2,755.00"
"RAD-R800940701","R800940701","Radial R15DC-EU PSU 15VDC - 220V for Radial & Tonebone products. Europe","0","R 671.00"
"RAD-R800942200","R800942200","Radial SA19-RA Rack adaptor for SA series, Firefly, Prodigy - holds 1 or 2 in a single 19" space","0","R 1,607.00"
"HER-GSP41SBPLUS","PSAPX0000074","Hercules Stands GSP41SB PLUS Auto Grip Guitar Hanger for Slat Wall (with 13 mm insertion)","0","R 294.00"
"HER-GSP50HBPLUS","PSAPX0000098","Hercules Stands GSP50HB PLUS Auto Grip Guitar Hanger for All-grids","0","R 466.00"
"HER-GSP50SBPLUS","PSAPX0000097","Hercules Stands GSP50SB PLUS Auto Grip Guitar Hanger for All-slats (w/ 16 mm Insertion)","0","R 466.00"
"S-HER-01B1011B","","Hercules Spares - 01B1011B Rubber Foot","20","R 31.00"
"S-HER-01B2016B","","Hercules Spares - 01B2016B Rubber Foot","20","R 12.00"
"S-HER-01P1009P","","Hercules Spares - 01P1009P Caster (front)","10","R 708.00"
"S-HER-03J4004B","","Hercules Spares - 03J4004B Trigger sleeve","20","R 11.00"
"S-HER-03M3023B","","Hercules Spares - 03M3023B Square End Plug","20","R 14.00"
"S-HER-03Q2007B","","Hercules Spares - 03Q2007B Foam Pad","20","R 11.00"
"S-HER-06A1041BD","","Hercules Spares - 06A1041BD Round Base","9","R 324.00"
"SP-CABBCT60SNE8MX6REEL050S","SP-CABBCT60SNE8MX6REEL050S","Stage Plus Premade Cable - Network - Reel - Neutrik NE8MX6 Reel BCT60 Cat6 50m","0","R 9,639.00"
"SP-CABH75163M63F6710","SP-SP-CABH75163M63F6710","Stage Plus Premade Cable - Power - SCAME 218-6337>SCAME 318.6347 IP67 63A 3phase H07 5x16mm sq 10m","0","R 8,944.00"
"SP-CABH75163M63F6720","SP-SP-CABH75163M63F6720","Stage Plus Premade Cable - Power - SCAME 218-6337>SCAME 318.6347 IP67 63A 3phase H07 5x16mm sq 20m","2","R 15,544.00"
"SP-CABH75632M32F6730","SP-SP-CABH75632M32F6730","Stage Plus Premade Cable - Power - SCAME 213-3237>SCAME 313-3247 IP44 32A 3phase H07 5x6mm sq 30m","0","R 8,355.00"
"SP-CABH75632M32F6740","SP-SP-CABH75632M32F6740","Stage Plus Premade Cable - Power - SCAME 213-3237>SCAME 313-3247 IP44 32A 3phase H07 5x6mm sq 40m","0","R 10,888.00"
"SP-CABH75632M32F6750","SP-SP-CABH75632M32F6750","Stage Plus Premade Cable - Power - SCAME 213-3237>SCAME 313-3247 IP44 32A 3phase H07 5x6mm sq 50m","0","R 10,888.00"
"HER-DG207B","PSACX0000023","Hercules Stands DG207B Universal Smartphone Holder","104","R 476.00"
"HER-DG307B","PSACX0000020","Hercules Stands DG307B 2-in-1 Tablet and Phone Holder","33","R 811.00"
"HER-DG307B-FS1","","Hercules DG307B-FS1 Tablet and Smartphone/Microphone Floor Stand","0","R 669.00"
"HER-DG307B-TS2","","Hercules DG307B-TS2 Tabletop Tablet and Smartphone Stand, Tripod","2","R 912.00"
"ADA-7115BLK","7115BLK","Adam Hall Cables 7115 BLK - Instrument Cable black","800","R 34.00"
"ADA-7510","7510","Adam Hall Connectors 7510 - 6.3mm Jack Plug  mono  Gold","144","R 79.00"
"ADA-7511","7511","Adam Hall Connectors 7511 - 6.3mm Jack Plug stereo gold","29","R 52.00"
"ADA-7514","7514","Adam Hall Connectors 7514 - 6.3mm Jack Plug mono","59","R 12.00"
"ADA-7540","7540","Adam Hall Connectors 7540 - Adapter mono RCA female to 6.3mm mono Jack male","29","R 13.00"
"ADA-7541","7541","Adam Hall Connectors 7541 - Adapter 6.3mm mono Jack female to mono RCA male","25","R 48.00"
"ADA-7545","7545","Adam Hall Connectors 7545 - Y-Adapter 2 x 3.5mm stereo Jack female to 6.3mm stereo","25","R 71.00"
"ADA-7546","7546","Adam Hall Connectors 7546 - Y-Adapter 2 x 6.3mm stereo Jack female to 6.3mm stereo","134","R 50.00"
"ADA-7556","7556","Adam Hall Connectors 7556 - Y-Adapter 2 x stereo Jack 3.5mm female to stereo Jack 3.5mm male","237","R 06.00"
"ADA-7853","7853","Adam Hall Connectors 7853 - Adapter 6.3mm Jack stereo female to XLR M","262","R 29.00"
"ADA-7855","7855","Adam Hall Connectors 7855 - Adapter 6.3mm Jack stereo male to XLR M","24","R 28.00"
"ADA-7856","7856","Adam Hall Connectors 7856 - Adapter 6.3mm Jack stereo male to XLR F","123","R 28.00"
"ADA-7857","7857","Adam Hall Connectors 7857 - Adapter RCA female to XLR M","4","R 109.00"
"ADA-K28C30","K28C30","Adam Hall Cables K28C30 - Multicore with Stagebox 24send/4return 30 m","3","R 14,816.00"
"ADA-K3BMV1000","K3BMV0600","Adam Hall Cables K3 BMV 1000 - Microphone Cable XLR M to 6.3mm Jack stereo 10m","1","R 399.00"
"ADA-K3BVV0060SET","K3BVV0060SET","Adam Hall Cables K3 BVV 0060 SET - Patch Cable Set of 6 Patch Cables 6.3 mm Jack stereo 0.6m","25","R 257.00"
"ADA-K3BVV0900","K3BVV0900","Adam Hall Cables K3 BVV 0900 - Audio Cable 6.3mm Jack stereo to 6.3mm Jack stereo 9m","9","R 409.00"
"ADA-K3BWM0100","","Adam Hall Cables K3 BWM 0100 - Audio Cable 3.5 mm Stereo Jack male to XLR male, 1m","15","R 120.00"
"ADA-K3BWW0150","","Adam Hall Cables K3BWW0150 3.5mm Stereo Male Jack to 3.5mm Stereo Male Jack 1.5M","58","R 95.00"
"ADA-K3BWW0300","K3BWW0300","Adam Hall K3BWW0300 3.5mm Stereo Male Jack to 3.5mm Stereo Male Jack 3M","27","R 133.00"
"ADA-K3MFP0300","K3MFP0300","Adam Hall Cables K3mFP 0300 - Microphone Cable XLR F to 6.3mm Jack mono 3m","3","R 215.00"
"ADA-K3MMF0100","K3MMF0100","Adam Hall Cables K3MMF0100 - Microphone Cable XLR female to XLR male 1 m","2","R 157.00"
"ADA-K3MMF0600","K3MMF0600","Adam Hall Cables K3MMF0600 - Microphone Cable XLR female to XLR male 6 m","45","R 285.00"
"ADA-K3MMP0600","K3MMP0600","Adam Hall Cables K3mMP 0600 - Microphone Cable XLR M to 6.3mm Jack mono 6m","1","R 293.00"
"ADA-K3TPP0600","K3TPP0600","Adam Hall Cables K3 TPP 0600 - Audio Cable 2 x 6.3mm Jack mono to 2 x 6.3mm Jack mono 6m","79","R 231.00"
"ADA-K3YVPP0100","K3YVPP0100","Adam Hall Cables K3 YVPP 0100 - Audio Cable 6.3mm Jack stereo to 2 x 6.3mm Jack mono 1m","25","R 117.00"
"ADA-K3YVPP0300","K3YVPP0300","Adam Hall Cables K3 YVPP 0300 - Audio Cable 6.3mm Jack stereo to 2 x 6.3mm Jack mono 3m","21","R 164.00"
"ADA-K3YWMM0100","K3YWPP0600","Adam Hall K3YWMM0100 3.5mm Male Jack to 2 Male XLR 1M","30","R 141.00"
"ADA-K3YWMM0300","","Adam Hall Cables K3YWMM0300 Audio Cable REAN 3.5mm Jack stereo to 2 x XLR M 3m","72","R 191.00"
"ADA-K3YWPP0100","K3YWPP0100","Adam Hall Cables K3 YWPP 0100 - Audio Cable 3.5mm Jack stereo to 2 x 6.3mm Jack mono 1m","1","R 113.00"
"ADA-K3YWPP0600","K3YWPP0600","Adam Hall Cables K3 YWPP 0600 - Audio Cable 3.5mm Jack stereo to 2 x 6.3mm Jack mono 6m","31","R 217.00"
"ADA-K4BOV0600","K4BOV0600","Adam Hall Cables K4 BOV 0600 - Headphone Extension 6.3mm Jack stereo to 6.3mm Jack stereo 6m","6","R 502.00"
"ADA-K4IPP0900","K4IPP0900","Adam Hall Cables K4 IPP 0900 - Instrument Cable REAN 6.3mm Jack mono to 6.3mm Jack mono 9m","137","R 497.00"
"ADA-K4TCC0150","K4TCC0150","Adam Hall Cables K4 TCC 0150 - Audio Cable REAN 2 x RCA male to 2 x RCA male 1.5m","55","R 480.00"
"ADA-K4TPP0150","K4TPP0150","Adam Hall Cables K4 TPP 0150 - Audio Cable REAN 2 x 6.3mm Jack mono to 2 x 6.3mm Jack mono 1.5m","110","R 438.00"
"ADA-K4YVPP0300","K4YVPP0300","Adam Hall Cables K4 YVPP 0300 - Audio Cable REAN 6.3mm Jack stereo to 2 x 6.3mm Jack mono 3m","59","R 421.00"
"ADA-K5BMV1000","K5BMV1000","Adam Hall Cables K5 BMV 1000 - Microphone Cable Neutrik XLR M to 6.3mm Jack stereo 10m","8","R 906.00"
"ADA-SKDB039","SKDB039","Adam Hall Stands SKDB039 - Studio monitor stands","4","R 1,053.00"
"ADA-SKDB040","","Adam Hall Stands SKDB 040 - Studiomonitor Stand","7","R 1,403.00"
"ADA-SLT001EW","SLT001EW","Adam Hall Stands SLT001EW - Laptop Stand White","1","R 598.00"
"ADA-SPADECO1","SPADECO1","Adam Hall Stands SPADECO1 - Isolation Pad for Studio Monitors 170 x 300 mm","51","R 371.00"
"ADA-SPADECO2","SPADECO2","Adam Hall Stands SPADECO2 - Isolation Pad for Studio Monitors 265 x 330 mm","18","R 515.00"
"ADA-SPS822","SPS822","Adam Hall Stands SPS 822 - Speaker Pole M20 Thread","1","R 836.00"
"ADA-STBA01","STBA01","Adam Hall Stands S TBA 01 - Table Microphone Arm with Built-In XLR Cable","16","R 1,194.00"
"ADA-SLED10","","Adam Hall SLED10 Led Light for Music Stand","6","R 991.00"
