"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"AID-WM-PTZ","WM-PTZ","Aida Imaging PTZ Universal Wall Mount Bracket","0","R 1,200.00"
"AID-WM-PTZ-W","WM-PTZ-W","Aida Imaging PTZ Universal Wall Mount Bracket White","0","R 1,200.00"
"AMP-026-4026-100","026-4026-100","Amphenol Standard JAWS AC series (XLR) Cable O.D 6.5mm to 8mm","0","R 09.00"
"AMP-026-4027-000","026-4027-000","Amphenol Large JAWS AC series (XLR) Cable O.D 3mm to 6.5mm","0","R 09.00"
"AMP-50260002-521","50260002-521","Amphenol T Series JAWS Large Cable O.D 6mm to 7.5mm","0","R 09.00"
"AMP-50260003-521","50260003-521","Amphenol T Series JAWS Standard Cable O.D 3mm to 6mm","0","R 09.00"
"AMP-AC3F","AC3F","Amphenol Female XL 3 Inline, Stamped contacts, Nickel finish","2355","R 67.00"
"AMP-AC3F3FBW","AC3F3FBW","Amphenol METAL FEMALE TO FEMALE 3 POLE","0","R 218.00"
"AMP-AC3F3FW","AC3F3FW","Amphenol Female to Female Adaptor","48","R 203.00"
"AMP-AC3F5MW","AC3F5MW","Amphenol XLR 3pin female to 5pin male adapter, Pre-wired, Metal","46","R 296.00"
"AMP-AC3FB","AC3FB","Amphenol Female XLR 3 Inline, Stamped contacts, Black finish","0","R 72.00"
"AMP-AC3F-BULK","AC3F-BULK","Amphenol METAL PLUG STR CORD 3 SKT","0","R 66.00"
"AMP-AC3FDZ","AC3FDZ","Amphenol Female XLR 3 Chassis, Stamped, Nickle Finish (Pro)","361","R 76.00"
"AMP-AC3FDZB","AC3FDZB","Amphenol Female XLR 3 Chassis, Stamped, Black Finish (Pro)","0","R 84.00"
"AMP-AC3M3MW","AC3M3MW","Amphenol Male to Male Adaptor","0","R 184.00"
"AMP-AC3M5FW","AC3M5FW","Amphenol XLR 3pin male to 5pin female adapter, Pre-wired, Metal","10","R 425.00"
"AMP-AC3MB","AC3MB","Amphenol Male XLR 3 Inline, stamped contacts, black finish","0","R 63.00"
"AMP-AC3MM","AC3MM","Amphenol Male XLR 3 Inline, Machined contacts, Nickel finish","2949","R 72.00"
"AMP-AC3MMB","AC3MMB","Amphenol Male XLR 3 Inline, Machined contacts, Black finish","0","R 77.00"
"AMP-AC3MMDZ","AC3MMDZ","Amphenol Male XLR 3 Chassis, Machined contacts, Nickle (Pro)","371","R 72.00"
"AMP-AC3MMDZB","AC3MMDZB","Amphenol Male XLR 3 Chassis, Machined contacts, Black (Pro)","0","R 77.00"
"AMP-AC4F","AC4F","Amphenol Female XLR 4 Inline, Machined contacts, Nickel finish","26","R 162.00"
"AMP-AC4FDZ","AC4FDZ","Amphenol Female XLR 4 Chassis, Machined contacts, Nickel","25","R 166.00"
"AMP-AC4M","AC4M","Amphenol Male XLR 4 Inline, Machined contacts, Nickel finish","9","R 104.00"
"AMP-AC4MDZ","AC4MDZ","Amphenol Male XLR 4 Chassis, Machined contacts, Nickel finish","50","R 97.00"
"AMP-AC5F","AC5F","Amphenol Female XLR 5 Inline, Machined contacts, Nickel finish","29","R 200.00"
"AMP-AC5FB","AC5FB","Amphenol Female XLR 5 Inline, Machined contacts, Black finish","0","R 206.00"
"AMP-AC5FDZ","AC5FDZ","Amphenol Female XLR 5 Chassis, Machined contacts, Nickel","0","R 209.00"
"AMP-AC5M","AC5M","Amphenol Male XLR 5 Inline, Machined contacts, Nickel finish","25","R 109.00"
"AMP-AC5MB","AC5MB","Amphenol Male XLR 5 Inline, Machined contacts, Black finish","0","R 114.00"
"AMP-AC5MDZ","AC5MDZ","Amphenol Male XLR 5 Chassis, Machined contacts, Nickel finish","20","R 117.00"
"AMP-AC7F","AC7F","Amphenol 7 pin XLR female inline","9","R 387.00"
"AMP-AC7M","AC7M","Amphenol 7 pin XLR Male inline","7","R 220.00"
"AMP-AC-BNC-JJ-75","AC-BNC-JJ-75","Amphenol Bulkhead Adapter-Isolated, 'D' Shell Housing, BNC","0","R 252.00"
"AMP-AC-GROMMET-BRN","AC-GROMMET-BRN","Amphenol Brown Coloured Grommet to suit AC, T and M series","99","R 09.00"
"AMP-AC-GROMMET-GRN","AC-GROMMET-GRN","Amphenol Green Coloured Grommet to suit AC, T and M series","171","R 09.00"
"AMP-AC-GROMMET-GRY","AC-GROMMET-GRY","Amphenol Grey Coloured Grommet to suit AC, T and M series","1373","R 09.00"
"AMP-AC-GROMMET-ORG","AC-GROMMET-ORG","Amphenol Orange Coloured Grommet to suit AC, T and M series","229","R 09.00"
"AMP-AC-GROMMET-RED","AC-GROMMET-RED","Amphenol Red Coloured Grommet to suit AC, T and M series","60","R 09.00"
"AMP-AC-GROMMET-VIO","AC-GROMMET-VIO","Amphenol Violet Coloured Grommet to suit AC, T and M series","0","R 09.00"
"AMP-AC-GROMMET-WHT","AC-GROMMET-WHT","Amphenol White Coloured Grommet to suit AC, T and M series","93","R 09.00"
"AMP-AC-GROMMET-YEL","AC-GROMMET-YEL","Amphenol Yellow Coloured Grommet to suit AC, T and M series","60","R 09.00"
"AMP-AC-HDMI-RR","AC-HDMI-RR","Amphenol HDMI-HDMI Feedthrough D Type panel mount (Nickel)","25","R 195.00"
