"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"SEN-505455","505455","Sennheiser GZL 9000-A5 N connection cable, low attenuation, length: 5m","0","R 1,629.00"
"SEN-505456","505456","Sennheiser GZL 9000-A10 N connection cable, low attenuation, length: 10 m","0","R 1,955.00"
"SEN-505457","505457","Sennheiser GZL 9000-A20 N connection cable, low attenuation, length: 20 m","0","R 2,498.00"
"SEN-505569","505569","Sennheiser MZW 600 Foam Windscreen","21","R 415.00"
"SEN-505570","505570","Sennheiser MZS 600 Camera Holder Shock Mount","0","R 415.00"
"SEN-505571","505571","Sennheiser MZQ 600 Microphone Clamp","0","R 218.00"
"SEN-505582","505582","Sennheiser HDR 175 Closed Digital Wireless Headphone, Circumaural, Suitable for Transmitter TR 175","4","R 3,232.00"
"SEN-505583","505583","Sennheiser HDR 185 Open Digital Wireless Headphone, Circumaural, Suitable for Transmitter TR 185","2","R 4,499.00"
"SEN-505799","505799","Sennheiser Spares - KA 600 I Connection Cable, 0.2m, Coiled, XLR-3F Connector to 3.5mm Jack","2","R 415.00"
"SEN-505851","505851","Sennheiser AVX-ME2 SET-3-EU Lavalier Set, With ME 2 Capsule, 1880-1900MHz","0","R 18,588.00"
"SEN-505852","505852","Sennheiser AVX-MKE2 SET-3-EU Professional Lavalier Set, With MKE 2 Capsule, 1880-1900MHz","0","R 23,242.00"
"SEN-505853","505853","Sennheiser AVX-835 SET-3-EU Handheld Mic Set, With MMD 835 Mic Module, 1880-1900MHz","0","R 20,915.00"
"SEN-505854","505854","Sennheiser EKP AVX-3-EU Plug-On Receiver, XLR to Mini Jack Cable, 12 Ch. 1880-1900MHz","0","R 11,736.00"
"SEN-505859","505859","Sennheiser SK AVX-3 Bodypack Transmitter, DLSR Mini Jack Adapter, 12 Ch. 1880-1900MHz","0","R 8,661.00"
"SEN-505860","505860","Sennheiser SKM AVX-835S-3 Handheld Transmitter With Mute Switch, With MMD 835-1, 1880-1900MHz","0","R 10,833.00"
"SEN-000536","000536","Sennheiser MZW 421-A Foam Windshield, Anthracite","1","R 851.00"
"SEN-000762","000762","Sennheiser MD 441-U Dynamic Super Cardioid Microphone, XLR-3M","0","R 27,897.00"
"SEN-700171","700171","Sennheiser RS 120-W TV Headphone System Low energy BT (10m range)","102","R 2,555.00"
"SEN-700174","700174","Sennheiser ACCENTUM Black","8","R 3,199.00"
"SEN-700175","700175","Sennheiser ACCENTUM White","122","R 3,199.00"
"SEN-700176","700176","Sennheiser ACCENTUM Plus Black","264","R 3,999.00"
"SEN-700177","700177","Sennheiser ACCENTUM Plus White","116","R 3,999.00"
"SEN-505973","505973","Sennheiser BA 20 Rechargeable Li-ion Battery Pack, For EKP AVX","3","R 1,155.00"
"SEN-505974","505974","Sennheiser BA 30 Rechargeable Li-ion Battery Pack, For SK D1, SK AVX, SL","11","R 2,199.00"
"SEN-506157","506157","Sennheiser SKM AVX-835-3 Handheld Transmitter, MMD 835 Mic Capsule, 1880-1900MHz","0","R 10,833.00"
"SEN-506258","506258","Sennheiser MKE 440 Super Cardioid Camera Microphone, 3.5mm Jack Plug, For DSLR","0","R 7,575.00"
"SEN-506259","506259","Sennheiser MZH 440 Fur Windshield","0","R 1,142.00"
"SEN-506462","506462","Sennheiser Spares - MDC 04 Detachable Cable, Urbanite Universal Remote","3","R 484.00"
"SEN-506463","506463","Sennheiser Spares - HZP 42 Earpads for Urbanite, Black","4","R 492.00"
"SEN-506464","506464","Sonova HZP 43","0","R 492.00"
"SEN-506817","506817","Sennheiser Set 860 Wireless TV Listening Set, 1.5m Optical Digital Cable, 3.5mm Jack Plug","0","R 4,843.00"
"SEN-506819","506819","Sennheiser RR 800 Stethoset Receiver, 2.4GHz, For Set 860/880","0","R 3,192.00"
"SEN-506820","506820","Sennheiser RS 5000 Stethoset TV Listening System, 1.5m Optical Digital Cable, 3.5mm Jack Plug","0","R 4,894.00"
"SEN-506821","506821","Sennheiser Flex 5000 Digital Wireless Set, 1.5m Optical Digital Cable, 3.5mm Jack Plug","4","R 4,077.00"
"SEN-506822","506822","Sennheiser RS 2000 Stethoset TV Listening System, 1.5m Optical Digital Cable, 3.5mm Jack Plug","3","R 3,700.00"
"SEN-506823","506823","Sennheiser RR FLEX Supplementary Receiver for Flex 5000","1","R 2,554.00"
"SEN-506824","506824","Sennheiser RR 5000 Supplementary Stethoset Receiver for RS 5000","1","R 4,830.00"
"SEN-506908","506908","Sennheiser HD 25 PLUS Headphones, Dyn. Headphone, 3m Cable, 3.5mm Angled Jack Plug","76","R 4,626.00"
"SEN-506909","506909","Sennheiser HD 25 Split Headband Headphones, 1.5m Cable, 3.5mm Angled Jack Plug, 1/4" Adapter","8","R 3,462.00"
"SEN-506988","506988","Sennheiser XSW 1-ME3-B Wireless Headmic Set, 10 Ch UHF, 614-638MHz","5","R 9,280.00"
"SEN-506995","506995","Sennheiser XSW 1-Ci1-B Wireless Instrument Set, 10 Ch UHF, 614-638MHz","8","R 6,953.00"
"SEN-507123","507123","Sennheiser XSW 2-ME2-B Wireless Lavalier Set, 614-638MHz","8","R 11,142.00"
"SEN-507130","507130","Sennheiser XSW 2-ME3-B Wireless Headmic Set, 614-638MHz","3","R 11,607.00"
"SEN-507137","507137","Sennheiser XSW 2-CI1-B Wireless Instrument Set, 614-638MHz","4","R 9,280.00"
"SEN-507182","507182","Sennheiser HD 200 PRO Headphones, Closed System, 2m Cable, 6.3/3.5mm Jack Adapter","112","R 1,840.00"
"SEN-507186","507186","Sennheiser SKM AVX-3 W/O Capsule, AVX Set, Handheld Transmitter Without Capsule","0","R 8,661.00"
"SEN-507207","507207","Sennheiser HD 4.30G Cord Assy Black Cable","3","R 393.00"
"SEN-507240","507240","Sennheiser Spares - HD 4.50 BTNC Earpads (Alternative Unit 507203)","13","R 366.00"
"SEN-507241","507241","Sennheiser Spares - HD 4.40 BT/4.50 BTNC Audio Cable","15","R 289.00"
"SEN-507323","507323","Sennheiser SK-XSW-B Bodypack Transmitter Wideband FM, 3.5mm Jack Socket, 614-638MHz","5","R 2,997.00"
"SEN-507329","507329","Sennheiser SKM 825-XSW-A Handheld Transmitter, e 825 Capsule, Dynamic, Cardioid, 548-572MHz","0","R 4,160.00"
"SEN-507330","507330","Sennheiser SKM 825-XSW-B Handheld Transmitter, e 825 Capsule, Dynamic, Cardioid, 614-638MHz","3","R 4,160.00"
"SEN-507336","507336","Sennheiser SKM 835-XSW-A Handheld Transmitter XSW 1/2, e 835 Capsule, Dynamic, Cardioid, 548-572MHz","0","R 5,324.00"
"SEN-507491","507491","Sennheiser Foam Ear Adapter S, 5 Pair, Size S","2","R 393.00"
"SEN-507492","507492","Sennheiser Foam Ear Adapter M, 5 Pair, Size M","0","R 393.00"
"SEN-507493","507493","Sennheiser Spares - Foam Ear Adapter L, 5 Pair, Size L","0","R 393.00"
"SEN-507494","507494","Sennheiser Spares - Silicone Ear Adapter S, 5 Pair, Size S","0","R 350.00"
"SEN-507495","507495","Sennheiser Spares - Silicone Ear Adapter M, 5 Pair, Size M","0","R 350.00"
"SEN-507496","507496","Sennheiser Spares - Silicone Ear Adapter L, 5 Pair, Size L","1","R 350.00"
"SEN-508245","508245","Sennheiser HSP Essential Omni-Black, Neckmount Microphone, 3.5mm Jack","27","R 6,953.00"
"SEN-508246","508246","Sennheiser HSP Essential Omni-Beige, Neckmount Microphone, 3.5mm Jack","46","R 6,953.00"
"SEN-508247","508247","Sennheiser HSP Essential Omni-Black 3-Pin, Neckmount Microphone","1","R 6,953.00"
"SEN-508248","508248","Sennheiser HSP Essential Omni-Beige 3-Pin, Neckmount Microphone","8","R 6,953.00"
"SEN-508249","508249","Sennheiser MKE Essential Omni-Black, Lavalier Microphone, Omni-directional, Black, 1.6m Cable, 3.5mm","18","R 5,789.00"
"SEN-508250","508250","Sennheiser MKE Essential Omni-Beige, Lavalier Microphone, Omni-directional, Beige, 1.6m Cable, 3.5mm","5","R 5,789.00"
"SEN-508264","508264","Sennheiser XSW 1-825 DUAL-B Dual Vocal Set, E 825 Dynamic Capsule, 614-638MHz","21","R 13,934.00"
"SEN-508266","508266","Sennheiser XSW 1-825 DUAL-D Dual Vocal Set, E 825 Dynamic Capsule, 794-806MHz","0","R 10,873.00"
"SEN-508271","508271","Sennheiser XSW 1-835 DUAL-B Dual Vocal Set, E 835 Dynamic Capsule, 614-638MHz","14","R 16,261.00"
"SEN-508384","508384","Sennheiser HD 350BT Wireless Headphones, Black, No Cable","0","R 1,850.00"
"SEN-508471","508471","Sennheiser Audio cable M3 AEBT XL","1","R 182.00"
"SEN-508472","508472","Sennheiser Spares - Earpads for M3 AEBT XL, Black","1","R 734.00"
"SEN-508491","508491","Sennheiser XSW-D XLR Base Set, XLR Female TX, XLR Male RX, USB-A to USB-C Charging Cable","3","R 7,418.00"
"SEN-508492","508492","Sennheiser XSW-D Presentation Base Set, Mini Jack TX, XLR Male RX, Belt-clip, USB-A to USB-C Cable","10","R 4,999.00"
"SEN-508493","508493","Sennheiser XSW-D Instrument Base Set, Instrument RX, Instrument TX, Belt-clip, USB-A to USB-C Cable","1","R 7,418.00"
"SEN-508494","508494","Sennheiser XSW-D XLR Female TX Pluggable Transmitter, XLR Female, USB-C Port, USB-A to USB-C Cable","0","R 4,160.00"
"SEN-508544","508544","Sennheiser Spares - Padding Set for HD/HMD 300 PRO, 2 Ear Cushions & 1 Headband Padding","0","R 1,142.00"
"SEN-508598","508598","Sennheiser HD 400S Black, Dyn. Closed System, Circumaural Foldable, 1.4m Cable, 3.5mm Jack Plug","206","R 1,550.00"
"SEN-508599","508599","Sennheiser Spares - RCS 400 Detachable Single-sided Cable, With 1-Button Remote, 3.5mm Angled Plug, Black","6","R 394.00"
"SEN-508600","508600","Sennheiser Spares - IEN BT Necklet for IE 80 S","0","R 3,851.00"
"SEN-508645","508645","Sennheiser EK 2000-IEM-AW+ Bodypack Receiver, Adaptive Diversity, 470-558MHz","0","R 12,191.00"
"SEN-508648","508648","Sennheiser CL 35 TRS Coiled Cable, 3.5mm to 3.5mm Jack Plug, With Locking","7","R 444.00"
"SEN-508649","508649","Sennheiser CL 63 Extension Cable, 6.3mm Jack Plug, 0.6m","1","R 440.00"
"SEN-508650","508650","Sennheiser XSW-D  BELTPACK CLIP XSWD BELTPACK CLIP","0","R 340.00"
"SEN-508651","508651","Sennheiser XSW-D Hotshoe Mount","1","R 440.00"
