"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"AMP-AC3MM","AC3MM","Amphenol Male XLR 3 Inline, Machined contacts, Nickel finish","2949","R 72.00"
"AMP-AC3MMB","AC3MMB","Amphenol Male XLR 3 Inline, Machined contacts, Black finish","0","R 77.00"
"AMP-AC3MMDZ","AC3MMDZ","Amphenol Male XLR 3 Chassis, Machined contacts, Nickle (Pro)","371","R 72.00"
"AMP-AC3MMDZB","AC3MMDZB","Amphenol Male XLR 3 Chassis, Machined contacts, Black (Pro)","0","R 77.00"
"AMP-AC4F","AC4F","Amphenol Female XLR 4 Inline, Machined contacts, Nickel finish","26","R 162.00"
"AMP-AC4FDZ","AC4FDZ","Amphenol Female XLR 4 Chassis, Machined contacts, Nickel","25","R 166.00"
"AMP-AC4M","AC4M","Amphenol Male XLR 4 Inline, Machined contacts, Nickel finish","9","R 104.00"
"AMP-AC4MDZ","AC4MDZ","Amphenol Male XLR 4 Chassis, Machined contacts, Nickel finish","50","R 97.00"
"AMP-AC5F","AC5F","Amphenol Female XLR 5 Inline, Machined contacts, Nickel finish","29","R 200.00"
"AMP-AC5FB","AC5FB","Amphenol Female XLR 5 Inline, Machined contacts, Black finish","0","R 206.00"
"AMP-AC5FDZ","AC5FDZ","Amphenol Female XLR 5 Chassis, Machined contacts, Nickel","0","R 209.00"
"AMP-AC5M","AC5M","Amphenol Male XLR 5 Inline, Machined contacts, Nickel finish","25","R 109.00"
"AMP-AC5MB","AC5MB","Amphenol Male XLR 5 Inline, Machined contacts, Black finish","0","R 114.00"
"AMP-AC5MDZ","AC5MDZ","Amphenol Male XLR 5 Chassis, Machined contacts, Nickel finish","20","R 117.00"
"AMP-AC7F","AC7F","Amphenol 7 pin XLR female inline","9","R 387.00"
"AMP-AC7M","AC7M","Amphenol 7 pin XLR Male inline","7","R 220.00"
"AMP-AC-BNC-JJ-75","AC-BNC-JJ-75","Amphenol Bulkhead Adapter-Isolated, 'D' Shell Housing, BNC","0","R 252.00"
"AMP-AC-GROMMET-BRN","AC-GROMMET-BRN","Amphenol Brown Coloured Grommet to suit AC, T and M series","99","R 09.00"
